"","Outbreak_id","t0","Longitude","Latitude","Location_aprox","Location_name","level2_name","level1_name","Species","is_wild"
"737","ob_108628","2022",-88.228,43.012,TRUE,"Waukesha County",NA,"Wisconsin","Birds",FALSE
"738","ob_108635","2022",-76.826,40.297,TRUE,"Dauphin County",NA,"Pennsylvania","Birds",FALSE
"739","ob_108629","2022",-89.625,44.957,TRUE,"Marathon County",NA,"Wisconsin","Birds",FALSE
"740","ob_108588","2022",-112.45,34.548,TRUE,"Yavapai County",NA,"Arizona","Birds",FALSE
"741","ob_108848","2022",-101.297,48.282,TRUE,"Ward County",NA,"North Dakota","Birds",FALSE
"742","ob_108918","2022",-73.8259,40.7164,TRUE,"Queens County",NA,"New York","Birds",FALSE
"743","ob_108847","2022",-75.531,40.61,TRUE,"Lehigh County",NA,"Pennsylvania","Birds",FALSE
"744","ob_108846","2022",-83.31,43.058,TRUE,"Lapeer County",NA,"Michigan","Birds",FALSE
"745","ob_108850","2022",-75.43,40.557,TRUE,"Lehigh County",NA,"Pennsylvania","Birds",FALSE
"746","ob_108964","2022",-96.112,46.279,TRUE,"Otter Tail County",NA,"Minnesota","Birds",FALSE
"747","ob_108978","2022",-73.222,40.82,TRUE,"Suffolk County",NA,"New York","Estrildidae (incognita)",TRUE
"748","ob_108978","2022",-73.222,40.82,TRUE,"Suffolk County",NA,"New York","Psittacidae (incognita)",TRUE
"749","ob_108965","2022",-104.989,39.74,TRUE,"Denver County",NA,"Colorado","Amazonetta brasiliensis",TRUE
"750","ob_108965","2022",-104.989,39.74,TRUE,"Denver County",NA,"Colorado","Phoenicopterus chilensis",TRUE
"751","ob_108965","2022",-104.989,39.74,TRUE,"Denver County",NA,"Colorado","Anser cygnoides",TRUE
"752","ob_108965","2022",-104.989,39.74,TRUE,"Denver County",NA,"Colorado","Branta ruficollis",TRUE
"753","ob_108965","2022",-104.989,39.74,TRUE,"Denver County",NA,"Colorado","Bucephala islandica",TRUE
"754","ob_108965","2022",-104.989,39.74,TRUE,"Denver County",NA,"Colorado","Spatula puna",TRUE
"755","ob_108970","2022",-91.824,31.772,TRUE,"Catahoula Parish",NA,"Louisiana","Balearica regulorum",TRUE
"756","ob_108973","2022",-91.186,41.179,TRUE,"Louisa County",NA,"Iowa","Birds",FALSE
"757","ob_108976","2022",-102.391,48.32,TRUE,"Mountrail County",NA,"North Dakota","Birds",FALSE
"758","ob_108974","2022",-81.664,30.33,TRUE,"Duval County",NA,"Florida","Birds",FALSE
"759","ob_108963","2022",-94.685,29.769,TRUE,"Chambers County",NA,"Texas","Plegadis falcinellus",TRUE
"760","ob_108963","2022",-94.685,29.769,TRUE,"Chambers County",NA,"Texas","Sterna forsteri",TRUE
"761","ob_108962","2022",-92.276,34.748,TRUE,"Pulaski County",NA,"Arkansas","Branta canadensis",TRUE
"762","ob_108971","2022",-97.319,32.756,TRUE,"Tarrant County",NA,"Texas","Phoenicopterus minor",TRUE
"763","ob_109007","2022",-82.451,27.95,TRUE,"Hillsborough County",NA,"Florida","Birds",FALSE
"764","ob_108975","2022",-88.432,33.506,TRUE,"Lowndes County",NA,"Mississippi","Birds",FALSE
"765","ob_109100","2022",-81.344,28.799,TRUE,"Seminole County",NA,"Florida","Birds",FALSE
"766","ob_109099","2022",-85.196,35.596,TRUE,"Bledsoe County",NA,"Tennessee","Birds",FALSE
"767","ob_109101","2022",-119.856,36.791,TRUE,"Fresno County",NA,"California","Birds",FALSE
"768","ob_109181","2022",-86.89,36.845,TRUE,"Logan County",NA,"Kentucky","Birds",FALSE
"769","ob_109107","2022",-111.659,40.234,TRUE,"Utah County",NA,"Utah","Birds",FALSE
"770","ob_109108","2022",-80.14,26.115,TRUE,"Broward County",NA,"Florida","Birds",FALSE
"771","ob_109105","2022",-75.93,40.328,TRUE,"Berks County",NA,"Pennsylvania","Birds",FALSE
"772","ob_109160","2022",-67.464,44.714,TRUE,"Washington County",NA,"Maine","Birds",FALSE
"773","ob_109164","2022",-75.076,40.827,TRUE,"Warren County",NA,"New Jersey","Birds",FALSE
"774","ob_109182","2022",-97.207,44.657,TRUE,"Hamlin County",NA,"South Dakota","Birds",FALSE
"775","ob_109109","2022",-80.55,34.983,TRUE,"Union County",NA,"North Carolina","Birds",FALSE
"776","ob_109469","2022",-122.328,47.604,TRUE,"King County",NA,"Washington","Bucephala albeola",TRUE
