"","Outbreak_id","t0","Longitude","Latitude","Location_aprox","Location_name","level2_name","level1_name","Species","is_wild"
"24","ob_104111","2022",-84.25,43.613,TRUE,"Midland County",NA,"Michigan","Vulpes vulpes",TRUE
"25","ob_104027","2022",-93.431,44.794,TRUE,"Scott County",NA,"Minnesota","Vulpes vulpes",TRUE
"26","ob_104026","2022",-98.536,45.996,TRUE,"Dickey County",NA,"North Dakota","Vulpes vulpes",TRUE
"27","ob_104020","2022",-88.816,43.021,TRUE,"Jefferson County",NA,"Wisconsin","Vulpes vulpes",TRUE
"28","ob_104113","2022",-84.685,44.998,TRUE,"Otsego County",NA,"Michigan","Vulpes vulpes",TRUE
"29","ob_104022","2022",-89.688,45.171,TRUE,"Lincoln County",NA,"Wisconsin","Lynx rufus",TRUE
"30","ob_104159","2022",-85.37,44.252,TRUE,"Wexford County",NA,"Michigan","Canis latrans",TRUE
"31","ob_104023","2022",-89.667,45.178,TRUE,"Lincoln County",NA,"Wisconsin","Lynx rufus",TRUE
"32","ob_104029","2022",-85.498,43.876,TRUE,"Osceola County",NA,"Michigan","Vulpes vulpes",TRUE
"33","ob_104156","2022",-91.84,42.454,TRUE,"Buchanan County",NA,"Iowa","Didelphis virginiana",TRUE
"34","ob_104021","2022",-89.297,43.138,TRUE,"Dane County",NA,"Wisconsin","Vulpes vulpes",TRUE
"35","ob_104158","2022",-119.023,46.218,TRUE,"Franklin County",NA,"Washington","Procyon lotor",TRUE
"36","ob_104018","2022",-88.992,42.726,TRUE,"Rock County",NA,"Wisconsin","Vulpes vulpes",TRUE
"37","ob_104025","2022",-93.499,47.216,TRUE,"Itasca County",NA,"Minnesota","Vulpes vulpes",TRUE
"38","ob_104528","2022",-84.383,46.47,TRUE,"Chippewa County",NA,"Michigan","Vulpes vulpes",TRUE
"39","ob_104520","2022",-92.838,44.739,TRUE,"Dakota County",NA,"Minnesota","Vulpes vulpes",TRUE
"40","ob_104519","2022",-93.236,44.922,TRUE,"Hennepin County",NA,"Minnesota","Vulpes vulpes",TRUE
"41","ob_104526","2022",-117.021,46.732,TRUE,"Latah County",NA,"Idaho","Mephitis mephitis",TRUE
"42","ob_104525","2022",-86.229,43.265,TRUE,"Muskegon County",NA,"Michigan","Vulpes vulpes",TRUE
"43","ob_104527","2022",-88.318,46.108,TRUE,"Iron County",NA,"Michigan","Procyon lotor",TRUE
"44","ob_104524","2022",-83.86,43.596,TRUE,"Bay County",NA,"Michigan","Vulpes vulpes",TRUE
"45","ob_104523","2022",-84.502,43.981,TRUE,"Gladwin County",NA,"Michigan","Vulpes vulpes",TRUE
"46","ob_104522","2022",-83.899,43.597,TRUE,"Bay County",NA,"Michigan","Vulpes vulpes",TRUE
"47","ob_104521","2022",-111.949,40.787,TRUE,"Salt Lake County",NA,"Utah","Vulpes vulpes",TRUE
"48","ob_104706","2022",-70.269,43.658,TRUE,"Cumberland County",NA,"Maine","Phoca vitulina",TRUE
"49","ob_104708","2022",-69.819,43.912,TRUE,"Sagadahoc County",NA,"Maine","Phoca vitulina",TRUE
"50","ob_104709","2022",-69.7,44.066,TRUE,"Lincoln County",NA,"Maine","Phoca vitulina",TRUE
"51","ob_104705","2022",-70.723,43.499,TRUE,"York County",NA,"Maine","Phoca vitulina",TRUE
"52","ob_104934","2022",-70.331,43.649,TRUE,"Cumberland County",NA,"Maine","Phoca vitulina",TRUE
"53","ob_104932","2022",-70.258,43.672,TRUE,"Cumberland County",NA,"Maine","Phoca vitulina",TRUE
"54","ob_104933","2022",-69.833,43.907,TRUE,"Sagadahoc County",NA,"Maine","Halichoerus grypus",TRUE
"55","ob_104929","2022",-165.422,64.53,TRUE,"Nome",NA,"Alaska","Vulpes vulpes",TRUE
"56","ob_104928","2022",-117.905,48.457,TRUE,"Stevens County",NA,"Washington","Procyon lotor",TRUE
"57","ob_104930","2022",-70.306,43.719,TRUE,"Cumberland County",NA,"Maine","Phoca vitulina",TRUE
"58","ob_104931","2022",-69.642,44.033,TRUE,"Lincoln County",NA,"Maine","Phoca vitulina",TRUE
"59","ob_104935","2022",-70.286,43.653,TRUE,"Cumberland County",NA,"Maine","Phoca vitulina",TRUE
"60","ob_104927","2022",-116.461,44.965,TRUE,"Adams County",NA,"Idaho","Mephitis mephitis",TRUE
"61","ob_105641","2022",-70.251,43.659,TRUE,"Cumberland County",NA,"Maine","Phoca vitulina",TRUE
"62","ob_105640","2022",-70.254,43.689,TRUE,"Cumberland County",NA,"Maine","Phoca vitulina",TRUE
"63","ob_105636","2022",-69.838,43.928,TRUE,"Sagadahoc County",NA,"Maine","Phoca vitulina",TRUE
"64","ob_105634","2022",-92.752,44.963,TRUE,"Saint Croix County",NA,"Wisconsin","Pekania pennanti",TRUE
"65","ob_105639","2022",-70.276,43.645,TRUE,"Cumberland County",NA,"Maine","Phoca vitulina",TRUE
"66","ob_105638","2022",-70.723,43.5,TRUE,"York County",NA,"Maine","Phoca vitulina",TRUE
"67","ob_105637","2022",-70.77,43.537,TRUE,"York County",NA,"Maine","Phoca vitulina",TRUE
"68","ob_105635","2022",-116.255,43.651,TRUE,"Ada County",NA,"Idaho","Mephitis mephitis",TRUE
"69","ob_105969","2022",-70.724,43.499,TRUE,"York County",NA,"Maine","Phoca vitulina",TRUE
"70","ob_107582","2022",-76.541,42.904,TRUE,"Cayuga County",NA,"New York","Vulpes vulpes",TRUE
"71","ob_107151","2022",-76.464,42.447,TRUE,"New York",NA,"New York","Panthera pardus orientalis",TRUE
"72","ob_108466","2022",-76.501,42.455,TRUE,"Tompkins County",NA,"New York","Vulpes vulpes",TRUE
"73","ob_108405","2022",-87.646,41.876,TRUE,"Cook County",NA,"Illinois","Didelphis virginiana",TRUE
"74","ob_108467","2022",-111.032,45.694,TRUE,"Gallatin County",NA,"Montana","Mephitis mephitis",TRUE
"75","ob_108919","2022",-93.526,47.237,TRUE,"Itasca County",NA,"Minnesota","Mephitis mephitis",TRUE
"76","ob_108826","2022",-104.693,40.425,TRUE,"Weld County",NA,"Colorado","Mephitis mephitis",TRUE
"77","ob_109185","2022",-135.44,58.11,TRUE,"Hoonah-Angoon Census Area",NA,"Alaska","Ursus americanus",TRUE
"78","ob_109183","2022",-111.913,43.67,TRUE,"Jefferson County",NA,"Idaho","Mephitis mephitis",TRUE
"79","ob_109184","2022",-92.098,46.721,TRUE,"Douglas County",NA,"Wisconsin","Mephitis mephitis",TRUE
"80","ob_111889","2022",-124.42,42.417,TRUE,"Curry County",NA,"Oregon","Procyon lotor",TRUE
"81","ob_110460","2022",-111.944,45.294,TRUE,"Madison County",NA,"Montana","Vulpes vulpes",TRUE
"82","ob_112083","2022",-98.514,44.875,TRUE,"Spink County",NA,"South Dakota","Vulpes vulpes",TRUE
"83","ob_111890","2022",-122.686,48.217,TRUE,"Island County",NA,"Washington","Procyon lotor",TRUE
"84","ob_110099","2022",-152.404,57.788,TRUE,"Kodiak Island",NA,"Alaska","Ursus arctos",TRUE
"85","ob_110098","2022",-122.814,45.855,TRUE,"Columbia County",NA,"Oregon","Mephitis mephitis",TRUE
"86","ob_110100","2022",-112.182,47.811,TRUE,"Teton County",NA,"Montana","Ursus arctos",TRUE
